Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,3442,28
103915262545181,KMU geprüft,KMU geprüft,3356,18
1027844850652657,Boomerang Ideas,Boomerang Ideas AG,2651,146
97220294896,SP Schweiz,SP Schweiz,2025,8
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,1804,1
1562216347422974,Esther Friedli,Esther Friedli,1589,14
105982889575233,Le Centre Genève,Le Centre Genève,1544,6
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,1400,7
191859734164694,Pro Infirmis,Pro Infirmis,1353,9
255506388731408,Biodiversitätsinitiative / Initiative biodiversité,Biodiversitätsinitiative / Initiative biodiversité,1346,12
291359247729208,PS Suisse,PS Suisse,1251,5
1579272705641700,Gabriela Suter,Gabriela Suter,1218,10
114275974912005,GE équilibre fiscal,GE équilibre fiscal,1109,8
599025353636034,B Lab Switzerland,B LAB (SWITZERLAND),1082,5
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,946,44
48980326364,Public Eye,Public Eye,929,15
1054282644596776,GE-démocratie,GE-démocratie,893,2
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,767,12
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,761,7
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,563,8
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,563,5
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,556,48
97721121385,Public Eye,Public Eye,541,15
131066326987,SP Kanton Zürich,SP Kanton Zürich,532,6
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,484,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,448,3
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,442,10
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,405,7
921336971288655,Nagra,Nagra,389,7
1483343695307824,Campax,Campax,368,57
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,350,5
809010089207949,Aperta e sovrana,aperta e sovrana,336,2
467929373784855,COA - Coalition animaliste,Coalition animaliste (COA),271,3
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,270,2
103033805478591,Carole-Anne Kast,Carole-Anne Kast,257,4
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,251,4
124266620968132,FDP.Die Liberalen Kanton Thurgau,FDP Thurgau,238,6
169510248558,Die Mitte - Le Centre,Die Mitte,232,6
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,218,3
102014399307738,Direkt,direkt,210,5
115010674866173,prospettivasvizzera.ch,IG Wirtschaftsverbände,184,5
155659847849677,Kantonsrat Martin Huber,Kantonsrat Martin Huber,177,1
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,171,19
1991942507517845,Römisch-Katholische Kirche im Aargau,Römisch-Katholische Landeskirche des Kantons Aargau,147,6
