Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich,2721,33
255506388731408,Biodiversitätsinitiative,Biodiversitätsinitiative,2428,18
110533229026103,EVP / PEV,EVP Schweiz,2226,33
15733998334,FDP,FDP,2203,19
126289610761942,Grünliberale,Grünliberale,2035,64
921336971288655,Nagra,Nagra,1994,13
194790813901953,Grüne Schweiz,Grüne Schweiz,1667,13
18087904183,PLR,PLR,1516,21
109554945523780,Initiative biodiversité,Initiative biodiversité,1473,33
114803848589834,DIE ZEIT,These ads ran without a disclaimer,1097,6
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,1017,6
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,930,9
141626852595827,Philipp Kutter,Philipp Kutter,842,3
260591187302640,Parti socialiste genevois,Parti socialiste genevois,830,17
179829952053386,Vert'libéraux,Parti vert'libéral Suisse,731,64
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,657,36
231086633606227,SVP Baselland,SVP Baselland,587,2
120307884715130,Les Vert•e•s Valais - Grüne Wallis,Les Vert•e•s Valais - Grüne Wallis,567,4
169510248558,Die Mitte - Le Centre,Die Mitte,554,6
1017458318384189,Sympany,These ads ran without a disclaimer,541,1
106758017401357,Gerber Markus,Markus Gerber,540,8
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,514,6
110981058712788,Iniziativa biodiversità,Iniziativa biodiversità,487,27
162931923790797,PLR Canton de Fribourg,PLR.Les Libéraux-Radicaux Fribourg,482,4
113292715120155,Matthias Müller,Matthias Müller,482,17
97220294896,SP Schweiz,SP Schweiz,472,3
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,464,5
36735923253,umverkehR,umverkehR,444,8
259871484198551,Thomas Matter,Thomas Matter,413,2
194211650769327,Damian Müller,Damian Müller,404,4
145577158797944,PLR.Les Libéraux-Radicaux Vaud,PLR. Les Libéraux-Radicaux Vaud,375,14
145845125487053,"Jürg Grossen, Präsident Grünliberale","Jürg Grossen, Präsident Grünliberale",360,21
180501591989950,Jungfreisinnige Kanton Zürich,Jungfreisinnige Kanton Zürich,353,5
1621304948106504,Je vote. Je m'informe. VS,Je vote. Je m'informe. VS,339,2
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,334,26
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,327,7
110058702093703,Matthias Tischhauser,Matthias Tischhauser,324,1
111079585410388,Heinz Siegenthaler,These ads ran without a disclaimer,314,2
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,298,10
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,294,7
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,286,8
101253266185327,Krisnachbern,Kris Vietze,280,20
102014399307738,Direkt,direkt,279,7
755554214495636,Parti Socialiste Neuchâtelois,Parti socialiste neuchâtelois,270,7
464961997209800,Daniel Leupi,Daniel Leupi,266,4
103074632758864,Natacha Albrecht au Conseil National,Natacha Albrecht au Conseil National,266,5
106166125878847,Michèle Strähl,Wahlkomitee Michèle Strähl,263,4
105302842574771,FDP.Die Liberalen Kanton Zug,FDP.Die Liberalen Zug,262,10
1317000255036258,Mouvement européen suisse - section Genève,Mouvement européen suisse - section Genève,259,4
451151132108215,Tiana Moser,Grünliberale Kanton Zürich,254,3
101986432797310,Anna-Sophia Spieler,Anna-Sophia Spieler,253,5
102104005601597,42hacks,42hacks.com,249,10
824045367664868,Laurent Wehrli,Laurent Wehrli,245,9
376640739090595,Baloise.CH,These ads ran without a disclaimer,239,3
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,237,4
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,234,5
478040605021,Junge Grüne Schweiz,Junge Grüne Schweiz,233,2
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,211,18
115010674866173,prospettivasvizzera.ch,IG Wirtschaftsverbände,204,6
109242778901363,Rutz fuer Zueri,Rutz fuer Zueri,199,4
100649012962611,Direct,Direct,196,10
82752099000,Alternative Liste ZH,Alternative Liste Zürich,196,7
463109137176918,Hansjörg Brunner,Hansjörg Brunner in den Nationalrat,196,22
101432554786737,Verein Stadtgrün,Verein Stadtgrün,182,5
121607420925633,Catherine Meyer in den Nationalrat,Wahlkomitee Catherine Meyer,179,1
265041068300,JUSO Baselland,JUSO Baselland,173,2
501353237059520,Johanna Gapany,Johanna Gapany,166,2
119724661100167,Josef Ender i Nationalrat,Josef Ender i Nationalrat,164,15
116890591678651,Vert'libéraux - Genève,Parti vert'libéral genevois,162,2
108204507991414,Zukunft sichern,Zukunft sichern,159,3
295886637766842,Othmar Reichmuth,Othmar Reichmuth,158,2
106300899437929,Patrick Hässig,Patrick Hässig,155,3
104460881166122,Pro Natura Valais / Wallis,Pro Natura Valais / Wallis,155,3
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,149,4
100960685986242,FDP Zürich 7+8,FDP Kreis 7+8,148,13
100122342080658,SVP Oberwallis,SVP Oberwallis,147,8
202907189862969,Verdi Liberali,Parti vert'libéral Suisse,147,32
111572431777901,Simon Michel in den Nationalrat,Simon Michel in den Nationalrat,145,2
97721121385,Public Eye,Public Eye,144,3
106252468372887,Isabelle Chassot,Isabelle Chassot,143,4
245489546137580,Christoph Riner - bodenständige Politik,Christoph Riner - bodenständige Politik,142,11
114991241616639,Jan Köbeli,Jan Köbeli,128,2
101023239974455,Europäische Bewegung Schweiz - Mouvement européen Suisse,European Movement Switzerland,119,4
1989388664637991,Salon Public,These ads ran without a disclaimer,117,1
2068625050104664,Jeunes Vert•e•x•s Suisse,Junge Grüne Schweiz,115,2
607076092768471,Bastien Girod,Bastien Girod,115,5
109923167202864,Grünliberale Linth,Grünliberale Linth,106,1
154767748463500,Raphael Lanz,Raphael Lanz,106,1
238982909481105,Les Vert·e·s Genevois·es,Les Vert-e-s genevois-es,106,3
2151592515105217,Christina Bachmann-Roth,Christina Bachmann-Roth,103,3
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,≤100,2
142664095796912,GRÜNE Kanton Bern,GRÜNE Kanton Bern,≤100,4
820391221400929,Unser Stadtrat Florin Scherrer,Unser Stadtrat Florin Scherrer,≤100,12
1246741332049284,Union Patronale du Canton de Fribourg,Union Patronale du Canton de Fribourg,≤100,2
109605484115257,Delphine Klopfenstein Broggini,Delphine Klopfenstein Broggini,≤100,6
274309186054845,JUSO Kanton St.Gallen,JUSO Kanton St.Gallen,≤100,1
101016155153638,Sarah Constantin,Sarah Constantin,≤100,7
178775348914227,FDP.Die Liberalen Kanton Schwyz,FDP Kanton Schwyz,≤100,2
100254145084547,Anna Staub,Anna Staub,≤100,2
186008238755917,amplify.ooo,amplify.ooo,≤100,1
592045444309191,DIRECT NEWS by Michel Robadin,DIRECT NEWS by Michel Robadin,≤100,1
138011779601470,Grünes Bündnis Stadt Bern,Grünes Bündnis Bern (GB),≤100,1
110963352037179,Pfeffinger Forum,Pfeffinger Forum,≤100,5
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,≤100,1
429727144111769,FDP.Die Liberalen  Oberaargau,FDP.Die Liberalen Oberaargau,≤100,1
140726925997098,Jungfreisinnige Thurgau,Jungfreisinnige Thurgau,≤100,3
106964611977537,Switlo,Switlo,≤100,1
154738781313603,Simone Gianini,Simone Gianini,≤100,3
1091412070891154,Florian Kobler in den Stadtrat,Florian Kobler in den Stadtrat,≤100,1
