Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
220137094989562,BRITA Schweiz,These ads ran without a disclaimer,11785,2
15733998334,FDP,FDP,2399,30
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,2352,7
126289610761942,Grünliberale,Grünliberale,2146,128
18087904183,PLR,PLR,1842,37
921336971288655,Nagra,Nagra,1553,10
194790813901953,Grüne Schweiz,Grüne Schweiz,1263,6
113292715120155,Matthias Müller,Matthias Müller,1143,41
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,1071,6
179829952053386,Vert'libéraux,Parti vert'libéral Suisse,854,125
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,493,28
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,460,10
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,457,33
102691421255810,PlanBasel,PlanBasel,436,11
144907625542050,Die Mitte Schwyz,Die Mitte Schwyz,400,2
255506388731408,Biodiversitätsinitiative,Biodiversitätsinitiative,351,9
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,344,9
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,330,3
110533229026103,EVP / PEV,EVP Schweiz,315,4
169510248558,Die Mitte - Le Centre,Die Mitte,296,6
162931923790797,PLR Canton de Fribourg,PLR.Les Libéraux-Radicaux Fribourg,293,8
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,286,35
102014399307738,Direkt,direkt,280,11
105302842574771,FDP.Die Liberalen Kanton Zug,FDP.Die Liberalen Zug,258,10
1919422915011017,Republik,Republik AG,217,1
97220294896,SP Schweiz,SP Schweiz,200,2
649563641749736,Karena and Kasey Bird,These ads ran without a disclaimer,200,1
100649012962611,Direct,Direct,196,8
114991241616639,Jan Köbeli,Jan Köbeli,187,1
145845125487053,"Jürg Grossen, Präsident Grünliberale","Jürg Grossen, Präsident Grünliberale",181,9
304748789719379,Bispo Inaldo Silva,These ads ran without a disclaimer,178,8
386551678736949,Philippe Loertscher,Philippe Loertscher,173,6
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,170,4
202907189862969,Verdi Liberali,Parti vert'libéral Suisse,170,55
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,168,3
48980326364,Public Eye,Public Eye,158,5
607076092768471,Bastien Girod,Bastien Girod,153,3
231320586878427,Hauseigentümerverband (HEV) Region Winterthur,Hauseigentümerverband Region Winterthur,140,2
105373170818382,Romaine Rogenmoser,Romaine Rogenmoser,140,1
102607622386347,Agissons Suisse,AG!SSONS,130,4
120307884715130,Les Vert•e•s Valais - Grüne Wallis,Les Vert•e•s Valais - Grüne Wallis,121,4
1246741332049284,Union Patronale du Canton de Fribourg,Union Patronale du Canton de Fribourg,109,2
