Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,6751,34
202006389857644,Grünliberale Kanton Zürich,Grünliberale Partei Zürich,1763,12
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,1700,30
131066326987,SP Kanton Zürich,SP Kanton Zürich,1654,13
169510248558,Die Mitte - Le Centre,Die Mitte,1596,20
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,1405,11
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,1289,80
108392832120312,Perspektive Zürich,Perspektive Zürich,1031,31
113035494739725,Simon Vlk,Simon Vlk,961,1
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,871,9
103082059271118,SP Bezirk Hinwil,SP Wetzikon,802,15
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,787,18
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,765,12
109469528675603,Philipp Egger,Philipp Egger,604,21
450602808776880,Martin Neukom,Martin Neukom,603,6
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,573,12
260591187302640,Parti socialiste genevois,Parti socialiste genevois,562,10
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,548,28
600706570124933,Verkehrssanierungen JA,Verkehrssanierungen JA,538,7
1604136306538918,Marc Wachter,Marc Michel Wachter,491,4
106254955524910,SVP Binningen,SVP Binningen,425,3
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,415,21
259871484198551,Thomas Matter,Thomas Matter,408,1
610098352377102,Christian Pfaller,Komitee Christian Pfaller,407,65
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,344,4
194790813901953,Grüne Schweiz,Grüne Schweiz,341,4
97220294896,SP Schweiz,SP Schweiz,300,1
161852057173460,SP Bezirk Affoltern,SP Bezirk Affoltern,286,12
108206818777404,Bezirksgewerbeverband Bülach,Bezirksgewerbeverband Bülach,281,17
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,279,4
231320586878427,Hauseigentümerverband (HEV) Region Winterthur,Hauseigentümerverband Region Winterthur,279,2
100195119489766,Benno Scherrer in den Regierungsrat,Benno Scherrer,277,1
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,254,4
583706025047684,Pierre Rappazzo in den Zürcher Kantonsrat,Pierre Rappazzo,246,3
2034886056799460,Raphael Tobler,Raphael Tobler,234,2
207703323162140,"Doris Meier, Kantonsrätin und a. Gemeindepräsidentin von Bassersdorf",Doris Meier-Kobler,226,4
1464661227009326,SVP Bezirk Uster,SVP Bezirk Uster,215,7
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,184,3
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,183,4
