Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,8914,50
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,7871,51
131066326987,SP Kanton Zürich,SP Kanton Zürich,6938,21
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,5970,84
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,5857,123
202006389857644,Grünliberale Kanton Zürich,Grünliberale Partei Zürich,5140,99
169510248558,Die Mitte - Le Centre,Die Mitte,3662,20
154212901272905,FDP.Die Liberalen Baselland,FDP.Die Liberalen Baselland,2621,112
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,2523,43
970401509667271,Priska Seiler Graf - Nationalrätin,Priska Seiler Graf in den Regierungsrat,2434,21
1903129656584980,SP Uster,SP Uster,2346,11
126256997433456,SP Baselland,SP Baselland,1980,9
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,1890,38
610098352377102,Christian Pfaller,Komitee Christian Pfaller,1761,61
82752099000,Alternative Liste ZH,Alternative Liste Zürich,1726,46
224581297586778,Gewerkschaftsbund des Kantons Zürich,Gewerkschaftsbund des Kantons Zürich,1601,4
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,1489,21
1959919117421939,FDP.Die Liberalen Bezirk Bülach,FDP.Die Liberalen Bezirk Bülach,1449,6
428690117258417,SVP des Kantons Zürich,SVP des Kantons Zürich,1403,16
108392832120312,Perspektive Zürich,Perspektive Zürich,1350,30
705478906236710,FDP.Die Liberalen Bezirk Uster,FDP.Die Liberalen Bezirk Uster,1250,5
100195119489766,Benno Scherrer in den Regierungsrat,Benno Scherrer,1204,6
583706025047684,Pierre Rappazzo in den Zürcher Kantonsrat,Pierre Rappazzo,1105,2
187828241245131,Grüne Baselland,Grüne Baselland,1081,31
450602808776880,Martin Neukom,Martin Neukom,1076,5
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,1069,49
106241572361769,Carmen Walker Späh FDP,Carmen Walker Späh,1001,15
260591187302640,Parti socialiste genevois,Parti socialiste genevois,995,18
102691421255810,PlanBasel,PlanBasel,978,1
317591871730585,SVP Bezirk Meilen,Marc Michel Wachter,968,1
161852057173460,SP Bezirk Affoltern,SP Bezirk Affoltern,899,28
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,888,8
324773857561365,Die Mitte Kanton Zürich,Die Mitte Kanton Zürich,868,10
191136321464981,Die Mitte Stadt Winterthur,Die Mitte Stadt Winterthur,782,8
113326388690102,SP Zürich 1 und 2,SP Zürich 1+2,728,2
117027101705789,FDP Stadt Zürich,FDP Stadt Zürich,711,15
1534982756793690,Foodvisor,These ads ran without a disclaimer,602,4
100489412910247,Nora Ernst - GLP,Nora Ernst - GLP,566,2
1722137767860098,Grüne Bülach,Grüne Bülach,539,42
