Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,40072,154
126289610761942,Grünliberale,Grünliberale,21943,86
106321615725425,Oui à la Loi climat,Oui à la loi climat,18110,62
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,10374,15
119186944514904,Unabhängige Schweiz - Unabhängige Energieversorgung,Klima Allianz,8714,10
179829952053386,Vert'libéraux,Parti vert'libéral Suisse,7853,47
103426324579756,Ein Lohn zum Leben,Ein Lohn zum Leben,6503,4
108893095528257,In185-Non,IN 185,5536,5
97220294896,SP Schweiz,SP Schweiz,4567,19
1220118614712552,Non à la loi sur le gaspillage de l'électricité,Non à la loi sur le gaspillage de l'électricité,4339,4
334655940216136,Nein zum Stromfresser-Gesetz,Nein zum Stromfresser-Gesetz,3860,6
105023728023626,Forum Wirtschaftsstandort Schweiz,Swissholdings,3511,8
131066326987,SP Kanton Zürich,SP Kanton Zürich,3053,10
1483343695307824,Campax,Campax,2758,75
194790813901953,Grüne Schweiz,Grüne Schweiz,2570,13
15733998334,FDP,FDP,2563,54
100109808734387,Schweizer Wirtschaft für das Klimagesetz,Schweizer Wirtschaft für das Klimagesetzt,2243,8
112878345109547,NON-in181 - NON à cette bombe fiscale,Fer Genève,2142,10
291359247729208,PS Suisse,PS Suisse,2127,8
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,2039,11
1886381148253031,Économie suisse pour la loi climat,Économie Suisse pour la loi climat,2038,8
113106815069066,"OUI à la LEFI - Notre logement, c’est toute notre vie",CGI,1603,15
36735923253,umverkehR,umverkehR,1589,4
147201418675114,Swissmem,Swissmem,1576,23
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,1495,15
513407995428696,actif-trafiC,actif-trafiC,1390,5
146548032062281,Fastenaktion,Fastenaktion,1343,3
375071409495559,Future 3 I de,Fondation Future 3.0,1298,40
1012263022170223,HotellerieSuisse,HotellerieSuisse,1294,13
314909850912,SP Graubünden - PS Grischun - PS Grigioni,SP Graubünden,1229,28
18087904183,PLR,PLR,1219,27
106434042447582,oui-acacias.ch,Comité unitaire en faveur du PLQ Acacias 1,1211,31
1320679421302500,HabitatDurable,Casafair - HabitatDurable,1204,14
1199285680176885,izzy,Verein Klimaschutz Schweiz,1169,1
104434902404462,SI all' imposta minima dell'OCSE,Alleanza per la riforma dell’imposta preventiva,1161,5
102014399307738,Direkt,direkt,1160,8
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,1131,8
251838211585945,SP Basel-Stadt,SP Basel-Stadt,1090,24
116890591678651,Vert'libéraux - Genève,Parti vert'libéral genevois,1066,8
179845512038427,swisscleantech,swisscleantech,1059,28
260591187302640,Parti socialiste genevois,Parti socialiste genevois,1027,12
122487807413337,Mehr günstige Wohnungen in Zürich,Mehr günstige Wohnungen in Zürich,990,2
106964611977537,Switlo,Switlo,948,1
309380022477251,Casafair,Casafair,920,12
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,863,15
212297922293183,UDC Suisse,UDC Suisse,841,2
91248575349,SVP Thurgau,SVP Thurgau,779,3
84150672409,SP Stadt Zürich,SP Stadt Zürich,758,2
107793295629503,Tourismus für das Klimagesetz,Tourismuskomitee «JA zum Klimagesetz»,758,4
1131283210260777,Future 3,Fondation Future 3.0,738,36
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,718,3
169510248558,Die Mitte - Le Centre,Die Mitte,685,12
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,624,31
112511615157200,Plateforme pour la justice fiscale,Plateforme pour la justice fiscale,602,19
100389251799156,Die Berner Arbeitgeber.,Der Berner Arbeitgeber.,582,2
103915262545181,KMU geprüft,KMU geprüft,564,1
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,563,19
100257256973322,Stark+vernetzt,stark + vernetzt,554,4
48980326364,Public Eye,Public Eye,540,12
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),Eidgenössisch-Demokratische Union Schweiz,535,18
100844786282093,SÌ alla Legge clima,Sì alla legge clima,529,11
921336971288655,Nagra,Nagra,529,7
101715872923024,Mindestlohn NEIN,Überparteiliches Komitee NEIN zum Mindestlohn,513,83
162373287239957,SVP Schweiz,SVP Schweiz,499,2
109997062087311,Des logements pour Montreux,Des logements pour Montreux,469,4
100332749664541,Ja zum Klimaschutz-Gesetz,These ads ran without a disclaimer,459,2
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,455,6
1526697364280066,Partito Socialista Ticino,Partito Socialista Ticino,449,3
115646168191821,Gebührenwahnsinn-Nein,Komitee gegen den Gebührenwahnsinn,446,6
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,442,13
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,429,7
108471975894983,Chambre vaudoise du commerce et de l'industrie (CVCI),Chambre Vaudoise du Commerce et de l'Industrie,416,2
110533229026103,EVP / PEV,EVP Schweiz,397,5
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,390,4
105302842574771,FDP.Die Liberalen Kanton Zug,FDP.Die Liberalen Zug,375,10
141853552532665,Romana Heuberger - Stadtratskandidatin,Romana Heuberger - Stadtratskandidatin,367,11
1964006623854188,Christoph Zimmerli,Christoph Zimmerli,366,1
97721121385,Public Eye,Public Eye,364,11
111572431777901,Simon Michel in den Nationalrat,Simon Michel in den Nationalrat,363,5
112273518443237,JSVP Säntis,JSVP Säntis,310,1
105117748995381,Next Generation Riva,Next Generation Riva,309,19
135939773133793,Grüne Winterthur,Grüne Winterthur,302,13
259871484198551,Thomas Matter,Thomas Matter,300,3
100847496372968,Ja zur Ombudsstelle Aargau,"Co-Präsidium Abstimmungskomitee ""Ja zur Ombudstelle Aargau""",287,5
1509464445976953,IHK Thurgau,IHK Thurgau,285,22
106778582237484,Noah Weber,Noah Weber,270,6
