Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
599025353636034,B Lab Switzerland,B LAB (SWITZERLAND),3465,26
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,3352,10
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,3324,7
1054282644596776,GE-démocratie,GE-démocratie,2176,9
97220294896,SP Schweiz,SP Schweiz,1197,8
1562216347422974,Esther Friedli,Esther Friedli,1128,11
114275974912005,GE équilibre fiscal,GE équilibre fiscal,1083,6
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,849,18
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,846,51
105982889575233,Le Centre Genève,Le Centre Genève,813,5
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,709,16
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,679,7
48980326364,Public Eye,Public Eye,679,15
291359247729208,PS Suisse,PS Suisse,607,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,600,4
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,560,5
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,557,12
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,554,2
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,524,30
131066326987,SP Kanton Zürich,SP Kanton Zürich,456,7
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,450,7
255506388731408,Biodiversitätsinitiative / Initiative biodiversité,Biodiversitätsinitiative / Initiative biodiversité,424,3
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,350,5
921336971288655,Nagra,Nagra,323,7
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,316,2
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,312,5
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,311,6
36735923253,umverkehR,umverkehR,297,3
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,291,19
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,259,4
809010089207949,Aperta e sovrana,aperta e sovrana,254,4
97721121385,Public Eye,Public Eye,252,8
1579272705641700,Gabriela Suter,Gabriela Suter,248,9
169510248558,Die Mitte - Le Centre,Die Mitte,233,6
102014399307738,Direkt,direkt,215,10
1027844850652657,Boomerang Ideas,Boomerang Ideas AG,201,6
100257256973322,Stark+vernetzt,stark + vernetzt,200,1
101664679500421,Uni·es par nos convictions · Engagé·es pour Genève,Uni·es par nos convictions · Engagé·es pour Genève,192,3
102151651460969,Raiffeisen Anlegen & Vorsorgen,These ads ran without a disclaimer,183,1
115010674866173,prospettivasvizzera.ch,IG Wirtschaftsverbände,183,6
1991942507517845,Römisch-Katholische Kirche im Aargau,Römisch-Katholische Landeskirche des Kantons Aargau,159,6
100432824661437,Bettina Balmer FDP,Bettina Balmer FDP,141,1
151183321586281,Jeunes Vert·e·x·s Genève,Jeunes Vert·e·x·s Genève,131,10
335404453537186,Die Mitte Binningen-Bottmingen,Die Mitte Binningen-Bottmingen,120,1
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,110,2
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,110,4
238982909481105,Les Vert·e·s Genevois·es,Les Vert-e-s genevois-es,107,3
1919422915011017,Republik,Republik AG,≤100,2
194790813901953,Grüne Schweiz,Grüne Schweiz,≤100,1
103237956032492,Willy Portmann,Willy Portmann,≤100,2
784812424962943,Tele Z,TELE Z,≤100,1
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100,7
467929373784855,COA - Coalition animaliste,Coalition animaliste (COA),≤100,1
103033805478591,Carole-Anne Kast,Carole-Anne Kast,≤100,1
125466200895962,Valentin Landmann,Sven Kunz,≤100,1
106964611977537,Switlo,Switlo,≤100,2
1483343695307824,Campax,Campax,≤100,18
104460881166122,Pro Natura Valais / Wallis,Pro Natura Valais / Wallis,≤100,2
1673559236288902,Pro Senectute Genève,Pro Senectute Genève,≤100,1
1419223321733027,Parti Socialiste Vaudois,PS vaudois,≤100,1
105188432853984,Tribune de Genève,These ads ran without a disclaimer,≤100,14
618765881570878,EKS,Elektrizitätswerk des Kantons Schaffhausen AG,≤100,1
168761183826173,Gewerkschaftsbund Schaffhausen GBS,Gewerkschaftsbund Schaffhausen GBS,≤100,1
251838211585945,SP Basel-Stadt,SP Basel-Stadt,≤100,1
571992639616487,Aktivferien,These ads ran without a disclaimer,≤100,3
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,≤100,14
1951249848443600,Protect Our Winters Switzerland,Protect Our Winters Switzerland,≤100,1
1886381148253031,Économie suisse pour la loi climat,Économie Suisse pour la loi climat,≤100,1
105457179189438,Karin Jung-Riedweg,Karin Jung-Riedweg,≤100,3
100109808734387,Schweizer Wirtschaft für das Klimagesetz,Schweizer Wirtschaft für das Klimagesetzt,≤100,1
121446461263308,SP Kanton Schwyz,SP Kanton Schwyz,≤100,1
245489546137580,Christoph Riner - bodenständige Politik,Christoph Riner - bodenständige Politik,≤100,9
814161388652681,Samira Marti,Nationalrätin Samira Marti,≤100,3
183441641693664,Philippe Nantermod,Etude Philippe Nantermod Sàrl,≤100,1
145845125487053,"Jürg Grossen, Präsident Grünliberale",Jürg Grossen,≤100,1
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100,7
139890720097051,Die Mitte Muttenz,Die Mitte Muttenz,≤100,1
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,≤100,16
100119208056282,Christian Dandrès,Christian Joseph Dandrès,≤100,1
104203868811586,Martina Dürr,Martina Regula  Dürr,≤100,1
115967858108648,Susanne Dedecke glp,Susanne Dedecke,≤100,4
138011779601470,Grünes Bündnis Stadt Bern,Grünes Bündnis Bern (GB),≤100,1
120307884715130,Les Vert•e•s Valais - Grüne Wallis,Les Vert•e•s Valais - Grüne Wallis,≤100,1
106563052005929,SVP Kreuzlingen,SVP Kreuzlingen,≤100,1
135939773133793,Grüne Winterthur,Grüne Winterthur,≤100,1
104832259590391,Yurtdışı Türkler ve Akraba Topluluklar Başkanlığı,These ads ran without a disclaimer,≤100,1
106195600803051,VV Assurance Consulting,These ads ran without a disclaimer,≤100,1
265786100439644,Grüne Freie Liste Stadt Bern,Grüne Freie Liste Bern,≤100,2
2075832665775532,FDP Hochdorf,FDP.Die Liberalen Hochdorf,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,6
2015601845405680,SP Frauenfeld,SP Frauenfeld,≤100,3
110481348648633,Ludivine-Luy-Lovey au Conseil National 2023,Ludivine Luy Lovey,≤100,1
1575444522744962,Nils Fiechter,Nils Fiechter,≤100,1
124881880957569,SP Stadt St.Gallen,SP Stadt St.Gallen,≤100,1
223727604375090,EVP Frauenfeld,EVP Frauenfeld,≤100,1
115335371438726,HOCH2.TV,These ads ran without a disclaimer,≤100,1
102779519060637,SP Vorderland AR,SP Vorderland AR,≤100,2
110336161874621,Urban Husi in den Kantonsrat ZH,Urban Pius Matthäus Husi Fiechter,≤100,1
158820214312321,Citations Ron Hubbard,Mieux Vivre Sa Vie,≤100,2
364457210935073,Vert'libéraux Valais / Grünliberale Wallis,Vert'libéraux Valais / Grünliberale Wallis,≤100,1
618765881570878,EKS,These ads ran without a disclaimer,≤100,1
103520459311864,Oliver Dürr in den Nationalrat,Oliver Dürr,≤100,1
115306454863649,Provision Fund,These ads ran without a disclaimer,≤100,1
764858193642975,"Pierre-André Page, Conseiller National",Pierre André Page,≤100,1
167983071434,SP Kriens,SP Kriens,≤100,1
105885535599394,Coach Cecil,These ads ran without a disclaimer,≤100,3
100318718516376,Martin Rufer,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,6
763722197034246,En Développement,These ads ran without a disclaimer,≤100,1
102718129475079,Ambil Sandy,Sandy Iwan Ambil,≤100,7
122819208305170,Sauvegarde Genève,Sauvegarde Genève,≤100,1
98673036962,ROLDA,These ads ran without a disclaimer,≤100,3
146237848870691,Lukas Stern,These ads ran without a disclaimer,≤100,1
1707147939300765,TMed - Centre de Médecine Traditionnelle et de Santé Holistique,These ads ran without a disclaimer,≤100,1
10150100771335484,24 heures,These ads ran without a disclaimer,≤100,20
100211985747396,Klimaform,These ads ran without a disclaimer,≤100,1
1622354278047452,Dietrich Rauch,These ads ran without a disclaimer,≤100,1
181622395207310,HANNOVER MESSE,These ads ran without a disclaimer,≤100,1
193167010699647,transport logistic,These ads ran without a disclaimer,≤100,2
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,2
325008635082270,SmartPurse,These ads ran without a disclaimer,≤100,1
161559836710,Esther Perel,These ads ran without a disclaimer,≤100,2
128342573493595,Good-News,These ads ran without a disclaimer,≤100,1
101176682686881,Caldwell Hutchinson,These ads ran without a disclaimer,≤100,2
102257292713372,Alejandra Morales,These ads ran without a disclaimer,≤100,24
108258998739587,I Did not know,These ads ran without a disclaimer,≤100,6
977005762399696,Deepgrooves,These ads ran without a disclaimer,≤100,1
15974534830,Magnum Photos,These ads ran without a disclaimer,≤100,12
153743591471761,ADAC Klassik,These ads ran without a disclaimer,≤100,1
171043963049603,GREAT SCOT,These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,3
104018092306802,Businpeop23,These ads ran without a disclaimer,≤100,2
109023530752200,Changing Markets Foundation,These ads ran without a disclaimer,≤100,1
110947301729456,Wen Creel,These ads ran without a disclaimer,≤100,2
117378681278530,dsesanga2023,These ads ran without a disclaimer,≤100,1
813362708790951,UBP - Union Bancaire Privée,These ads ran without a disclaimer,≤100,2
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,2
102500518635499,ENTR en,These ads ran without a disclaimer,≤100,1
73757131621,Flyerline Schweiz AG,These ads ran without a disclaimer,≤100,1
100490729492964,Sebastian Bello,These ads ran without a disclaimer,≤100,2
108527698282438,Spotted,These ads ran without a disclaimer,≤100,1
107132684935276,Petit Pappus,These ads ran without a disclaimer,≤100,1
117137747964753,Центр білоруських комунікацій,These ads ran without a disclaimer,≤100,1
110361961971071,Életviteli tanácsadás,These ads ran without a disclaimer,≤100,1
101653285444113,SK텔레콤 뉴스룸,These ads ran without a disclaimer,≤100,1
114305191932520,Pro Wildlife e.V.,These ads ran without a disclaimer,≤100,1
116189038059883,cultofflowers,These ads ran without a disclaimer,≤100,1
8539814909,International Animal Rescue,These ads ran without a disclaimer,≤100,6
149290745229517,Online Antisemitism Task Force,These ads ran without a disclaimer,≤100,1
109888808553507,Neol,These ads ran without a disclaimer,≤100,1
595178974150639,"Marta Wesołowska - mówienie, głos w Marce Osobistej",These ads ran without a disclaimer,≤100,1
124340177284061,TomorrowBuilding,These ads ran without a disclaimer,≤100,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,1
110376193759075,Golf Sustainable,These ads ran without a disclaimer,≤100,1
101090899641987,NIS2 PRO,These ads ran without a disclaimer,≤100,1
79511407410,Mercedes-AMG Petronas F1 Team,These ads ran without a disclaimer,≤100,1
444347906369155,Transitions et Énergies,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,1
109044999140694,CAS,These ads ran without a disclaimer,≤100,1
108535778792153,Evang. Akwaha,These ads ran without a disclaimer,≤100,1
137223326998592,Ashleyjtoddblog,These ads ran without a disclaimer,≤100,1
