Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
202006389857644,Grünliberale Kanton Zürich,Grünliberale Partei Zürich,10547,105
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,7408,35
428690117258417,SVP des Kantons Zürich,SVP des Kantons Zürich,4159,16
169510248558,Die Mitte - Le Centre,Die Mitte,3551,33
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,3415,50
154212901272905,FDP.Die Liberalen Baselland,FDP.Die Liberalen Baselland,3238,109
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,2741,75
970401509667271,Priska Seiler Graf - Nationalrätin,Priska Seiler Graf in den Regierungsrat,2695,42
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,2598,90
450602808776880,Martin Neukom,Martin Neukom,2498,5
610098352377102,Christian Pfaller,Komitee Christian Pfaller,1598,61
364939817683277,Marco Hirzel Politik,Marco Hirzel Politik,1544,10
110547838607111,NON IN 179,FER Genève - Fédération des Entreprises Romandes Genève,1491,15
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,1443,29
109123788743774,Benjamin Frei,Benjamin Rolf Frei,1440,10
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,1366,33
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,1335,37
1959919117421939,FDP.Die Liberalen Bezirk Bülach,FDP.Die Liberalen Bezirk Bülach,1233,6
116663695061094,SP Bezirk Meilen,SP Bezirk Meilen,1199,13
224581297586778,Gewerkschaftsbund des Kantons Zürich,Gewerkschaftsbund des Kantons Zürich,1198,4
705478906236710,FDP.Die Liberalen Bezirk Uster,FDP.Die Liberalen Bezirk Uster,1154,7
194790813901953,Grüne Schweiz,Grüne Schweiz,955,6
260591187302640,Parti socialiste genevois,Parti socialiste genevois,953,8
109213507316253,SP Zürich 11,SP Zürich,942,24
106241572361769,Carmen Walker Späh FDP,Carmen Walker Späh,934,15
108392832120312,Perspektive Zürich,Perspektive Zürich,925,26
131066326987,SP Kanton Zürich,SP Kanton Zürich,918,6
103915262545181,KMU geprüft,KMU geprüft,859,92
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,811,14
119245155521044,Ylli Doko - Politiker - FDP Die.Liberalen,Ylli Doko,787,3
102691421255810,PlanBasel,PlanBasel,704,3
82752099000,Alternative Liste ZH,Alternative Liste Zürich,698,27
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,673,6
131136176944674,FDP.Die Liberalen Bezirk Pfäffikon,FDP.Die Liberalen Bezirk Pfäffikon,643,15
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,633,10
1903129656584980,SP Uster,SP Uster,589,13
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,580,33
