Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
97220294896,SP Schweiz,SP Schweiz,2755,2
600706570124933,Verkehrssanierungen JA,Komitee Verkehrssanierungen JA,2304,67
103816695962630,Non à l'initiative «Zéro Pub»,Comité référendaire NON à Zéro Pub,2116,11
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,2109,3
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,1855,33
103361322680851,Armin Hartmann,Hartmann2023,1656,17
112750821712602,Ruedi Hug als Bezirksrichter,Rudolf Hug,1647,11
110547838607111,NON IN 179,FER Genève - Fédération des Entreprises Romandes Genève,1528,38
1492503634364441,Liste d'Union Populaire,Ensemble à Gauche-Genève,1292,23
104068392569671,Nein zum Stadtparlament Rapperswil-Jona,"Komitee «NEIN zur neuen Gemeindeordnung, NEIN zum Stadtparlament»",1113,7
260591187302640,Parti socialiste genevois,Parti socialiste genevois,912,14
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,858,6
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,841,26
1562216347422974,Esther Friedli,Esther Friedli,792,19
103915262545181,KMU geprüft,KMU geprüft,775,154
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,575,31
1534982756793690,Foodvisor,These ads ran without a disclaimer,486,6
106252468372887,Isabelle Chassot,Isabelle Chassot,463,7
110888273821104,Alain Miserez,Alain Miserez,410,4
176998335660824,PLRT,PLRT,390,15
75338704887,Fondation Franz Weber,Fondation Franz Weber,386,1
251838211585945,SP Basel-Stadt,SP Basel-Stadt,384,11
104176871670876,Renteninitiative - Für eine sichere & nachhaltige Altersvorsorge,Verein Renteninitiative,375,3
335404453537186,Die Mitte Binningen-Bottmingen,Die Mitte Binningen-Bottmingen,366,2
463645587339110,Piero Marchesi,Piero Marchesi,351,8
104265952574760,EVP Kreuzlingen,Adrian Robin Ziörjen,350,1
113671758293671,JA zum Stadtparlament,Komitee JA zum Stadtparlament Rapperswil-Jona,345,24
108843502117518,Andreas Baeckert,Andreas Peter Baeckert,330,4
194790813901953,Grüne Schweiz,Grüne Schweiz,329,3
756722317788172,FDP.Die Liberalen Stadt Luzern,FDP.Die Liberalen Stadt Luzern,316,12
1054282644596776,GE-démocratie,GE-démocratie,315,3
192306360802833,Grünliberale Luzern Land,Grünliberale Luzern Land,297,7
111539168454051,Avanti,Avanti,267,32
269029886456205,Giorgio Fonio,Giorgio Fonio,259,5
353685744720476,Jungfreisinnige Stadt Luzern,Jungfreisinnige Stadt Luzern,257,3
109851415363558,Energiezukunft Chur,Überparteiliches Komitee für eine eigenständige und nachhaltige Energiezukunft Chur,253,13
103237956032492,Willy Portmann,Willy Portmann,241,6
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,241,6
101500332827222,SVP Wahlkreis Sursee,SVP Wahlkreis Sursee,237,15
169510248558,Die Mitte - Le Centre,Die Mitte,225,6
1439209716323593,UDC Ticino,UDC Ticino,218,9
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,218,8
305699609616768,Verdi Liberali Ticino,verdi liberali Ticino,217,14
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,212,5
592045444309191,DIRECT NEWS by Michel Robadin,Michel François Robadin,200,2
109889895328694,Megastrassen 2 x NEIN,Komitee gegen Megastrassen,195,9
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,172,6
1613234358893730,Die Mitte Emmental,Die Mitte Emmental,170,5
108839758430779,Association des habitants du quartier de la Bourgogne,Association des habitants du quartier de Bourgogne,156,12
1524954517562834,Prominis,Prominis GmbH,155,2
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),EDU - UDF (Eidgenössisch-Demokratische Union),155,1
190133177759419,Giuseppe Cotti,Giuseppe Cotti,153,4
533593610474670,Susanne Vincenz-Stauffacher,Susanne Vincenz-Stauffacher,149,3
453655411351244,Giovani UDC Ticino,Giovani UDC Ticino,138,5
