Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,24911,125
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,13493,15
106321615725425,Oui à la Loi climat,Oui à la loi climat,10457,64
126289610761942,Grünliberale,Grünliberale,8075,86
119186944514904,Unabhängige Schweiz - Unabhängige Energieversorgung,Klima Allianz,7642,10
191859734164694,Pro Infirmis,Pro Infirmis,4753,24
15733998334,FDP,FDP,4658,60
334655940216136,Nein zum Stromfresser-Gesetz,Nein zum Stromfresser-Gesetz,4006,6
106434042447582,oui-acacias.ch,Comité unitaire en faveur du PLQ Acacias 1,3915,31
194790813901953,Grüne Schweiz,Grüne Schweiz,3553,17
1951249848443600,Protect Our Winters Switzerland,Protect Our Winters Switzerland,3460,4
100109808734387,Schweizer Wirtschaft für das Klimagesetz,Schweizer Wirtschaft für das Klimagesetzt,3173,11
375071409495559,Future 3 I de,Fondation Future 3.0,3075,4
179829952053386,Vert'libéraux,Parti vert'libéral Suisse,2869,47
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,2637,13
146548032062281,Fastenaktion,Fastenaktion,2555,3
18087904183,PLR,PLR,2280,33
1886381148253031,Économie suisse pour la loi climat,Économie Suisse pour la loi climat,2186,12
1220118614712552,Non à la loi sur le gaspillage de l'électricité,Non à la loi sur le gaspillage de l'électricité,1868,2
36735923253,umverkehR,umverkehR,1661,8
1483343695307824,Campax,Campax,1581,111
513407995428696,actif-trafiC,actif-trafiC,1570,5
108893095528257,In185-Non,IN 185,1566,3
1131283210260777,Future 3,Fondation Future 3.0,1547,5
103426324579756,Ein Lohn zum Leben,Ein Lohn zum Leben,1513,3
91248575349,SVP Thurgau,SVP Thurgau,1473,6
97220294896,SP Schweiz,SP Schweiz,1453,13
212297922293183,UDC Suisse,UDC Suisse,1316,2
162373287239957,SVP Schweiz,SVP Schweiz,1221,3
147201418675114,Swissmem,Swissmem,1163,23
260591187302640,Parti socialiste genevois,Parti socialiste genevois,1151,12
113106815069066,"OUI à la LEFI - Notre logement, c’est toute notre vie",CGI,945,11
1320679421302500,HabitatDurable,Casafair - HabitatDurable,914,13
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,909,23
131066326987,SP Kanton Zürich,SP Kanton Zürich,866,10
169510248558,Die Mitte - Le Centre,Die Mitte,824,12
108471975894983,Chambre vaudoise du commerce et de l'industrie (CVCI),Chambre Vaudoise du Commerce et de l'Industrie,818,3
115646168191821,Gebührenwahnsinn-Nein,Komitee gegen den Gebührenwahnsinn,777,8
112878345109547,NON-in181 - NON à cette bombe fiscale,Fer Genève,775,5
309380022477251,Casafair,Casafair,768,12
291359247729208,PS Suisse,PS Suisse,758,7
105023728023626,Forum Wirtschaftsstandort Schweiz,Swissholdings,732,8
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,696,3
314909850912,SP Graubünden - PS Grischun - PS Grigioni,SP Graubünden,690,10
112511615157200,Plateforme pour la justice fiscale,Plateforme pour la justice fiscale,642,19
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),EDU - UDF (Eidgenössisch-Demokratische Union),620,1
105302842574771,FDP.Die Liberalen Kanton Zug,FDP.Die Liberalen Zug,614,24
84150672409,SP Stadt Zürich,SP Stadt Zürich,597,2
107793295629503,Tourismus für das Klimagesetz,Tourismuskomitee «JA zum Klimagesetz»,593,7
1526697364280066,Partito Socialista Ticino,Partito Socialista Ticino,591,4
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,527,13
101715872923024,Mindestlohn NEIN,Überparteiliches Komitee NEIN zum Mindestlohn,500,115
111572431777901,Simon Michel in den Nationalrat,Simon Michel in den Nationalrat,500,5
251838211585945,SP Basel-Stadt,SP Basel-Stadt,493,12
100844786282093,SÌ alla Legge clima,Sì alla legge clima,478,12
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,457,5
48980326364,Public Eye,Public Eye,451,7
104434902404462,SI all' imposta minima dell'OCSE,Alleanza per la riforma dell’imposta preventiva,425,5
102014399307738,Direkt,direkt,422,10
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,418,7
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,412,5
105117748995381,Next Generation Riva,Next Generation Riva,411,16
109997062087311,Des logements pour Montreux,Des logements pour Montreux,410,4
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),Eidgenössisch-Demokratische Union Schweiz,404,17
110533229026103,EVP / PEV,EVP Schweiz,400,4
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,396,2
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,394,2
921336971288655,Nagra,Nagra,388,5
116890591678651,Vert'libéraux - Genève,Parti vert'libéral genevois,387,4
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,380,24
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,376,16
135939773133793,Grüne Winterthur,Grüne Winterthur,319,14
1246741332049284,Union Patronale du Canton de Fribourg,Union Patronale du Canton de Fribourg,300,4
112273518443237,JSVP Säntis,JSVP Säntis,291,1
128207683859147,WWF Suisse,WWF Suisse,255,2
97721121385,Public Eye,Public Eye,252,6
100847496372968,Ja zur Ombudsstelle Aargau,"Co-Präsidium Abstimmungskomitee ""Ja zur Ombudstelle Aargau""",242,6
1509464445976953,IHK Thurgau,IHK Thurgau,233,21
874921562604867,Katharina Prelicz-Huber,Katharina Prelicz-Huber,232,1
141853552532665,Romana Heuberger - Stadtratskandidatin,Romana Heuberger - Stadtratskandidatin,213,10
386551678736949,Philippe Loertscher,Philippe Loertscher,202,2
