Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,21145,107
126289610761942,Grünliberale,Grünliberale,9133,52
169510248558,Die Mitte - Le Centre,Die Mitte,7798,20
106321615725425,Oui à la Loi climat,Oui à la loi climat,7056,47
97220294896,SP Schweiz,SP Schweiz,5351,37
103426324579756,Ein Lohn zum Leben,Ein Lohn zum Leben,4867,4
108893095528257,In185-Non,IN 185,4723,9
119186944514904,Unabhängige Schweiz - Unabhängige Energieversorgung,Klima Allianz,3644,10
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,3489,15
105023728023626,Forum Wirtschaftsstandort Schweiz,Swissholdings,3097,8
291359247729208,PS Suisse,PS Suisse,2829,16
179829952053386,Vert'libéraux,Parti vert'libéral Suisse,2800,26
131066326987,SP Kanton Zürich,SP Kanton Zürich,2130,12
100109808734387,Schweizer Wirtschaft für das Klimagesetz,Schweizer Wirtschaft für das Klimagesetzt,2099,8
107793295629503,Tourismus für das Klimagesetz,Tourismuskomitee «JA zum Klimagesetz»,2068,44
334655940216136,Nein zum Stromfresser-Gesetz,Nein zum Stromfresser-Gesetz,2057,6
1886381148253031,Économie suisse pour la loi climat,Économie Suisse pour la loi climat,1848,8
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,1733,8
122487807413337,Mehr günstige Wohnungen in Zürich,Mehr günstige Wohnungen in Zürich,1693,4
147201418675114,Swissmem,Swissmem,1580,23
1220118614712552,Non à la loi sur le gaspillage de l'électricité,Non à la loi sur le gaspillage de l'électricité,1427,4
1012263022170223,HotellerieSuisse,HotellerieSuisse,1370,13
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,1363,7
113106815069066,"OUI à la LEFI - Notre logement, c’est toute notre vie",CGI,1336,12
114275974912005,GE équilibre fiscal,GE équilibre fiscal,1305,17
1320679421302500,HabitatDurable,Casafair - HabitatDurable,1282,15
375071409495559,Future 3 I de,Fondation Future 3.0,1221,50
1131283210260777,Future 3,Fondation Future 3.0,1210,46
112878345109547,NON-in181 - NON à cette bombe fiscale,Fer Genève,1203,13
194790813901953,Grüne Schweiz,Grüne Schweiz,1179,6
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,1061,12
102014399307738,Direkt,direkt,1029,8
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,1020,6
104434902404462,SI all' imposta minima dell'OCSE,Alleanza per la riforma dell’imposta preventiva,964,5
309380022477251,Casafair,Casafair,897,12
251838211585945,SP Basel-Stadt,SP Basel-Stadt,865,19
84150672409,SP Stadt Zürich,SP Stadt Zürich,840,9
314909850912,SP Graubünden - PS Grischun - PS Grigioni,SP Graubünden,813,18
1027844850652657,Boomerang Ideas,Boomerang Ideas AG,811,152
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,718,3
1579272705641700,Gabriela Suter,Gabriela Suter,647,3
1199285680176885,izzy,Verein Klimaschutz Schweiz,645,1
103915262545181,KMU geprüft,KMU geprüft,630,1
48980326364,Public Eye,Public Eye,624,11
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,574,13
260591187302640,Parti socialiste genevois,Parti socialiste genevois,571,5
348181055257294,suisse.ing - Top of Engineering,suisse.ing,564,2
106434042447582,oui-acacias.ch,Comité unitaire en faveur du PLQ Acacias 1,559,32
112511615157200,Plateforme pour la justice fiscale,Plateforme pour la justice fiscale,543,19
101715872923024,Mindestlohn NEIN,Überparteiliches Komitee NEIN zum Mindestlohn,524,59
100844786282093,SÌ alla Legge clima,Sì alla legge clima,518,11
1659576160959696,Guido Fluri Stiftung,Guido Fluri Stiftung,493,24
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,490,19
106252468372887,Isabelle Chassot,Isabelle Chassot,427,5
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),Eidgenössisch-Demokratische Union Schweiz,423,14
607076092768471,Bastien Girod,Bastien Girod,418,4
100389251799156,Die Berner Arbeitgeber.,Der Berner Arbeitgeber.,418,2
109997062087311,Des logements pour Montreux,Des logements pour Montreux,402,4
789371434477510,GRÜNE Basel-Stadt,Grüne Basel-Stadt,381,3
108471975894983,Chambre vaudoise du commerce et de l'industrie (CVCI),Chambre Vaudoise du Commerce et de l'Industrie,380,2
97721121385,Public Eye,Public Eye,376,10
179845512038427,swisscleantech,swisscleantech,373,16
1526697364280066,Partito Socialista Ticino,Partito Socialista Ticino,361,3
921336971288655,Nagra,Nagra,336,7
105302842574771,FDP.Die Liberalen Kanton Zug,FDP.Die Liberalen Zug,320,10
1483343695307824,Campax,Campax,316,22
115646168191821,Gebührenwahnsinn-Nein,Komitee gegen den Gebührenwahnsinn,304,2
91248575349,SVP Thurgau,SVP Thurgau,304,2
120387847981200,SP Kanton Solothurn,Sozialdemokratische Partei Kanton Solothurn,303,4
317621515059377,Lucerne Clinic,These ads ran without a disclaimer,295,1
1509464445976953,IHK Thurgau,IHK Thurgau,280,21
737971436234272,StrategieDialog21,StrategieDialog21,279,9
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,279,17
100257256973322,Stark+vernetzt,stark + vernetzt,273,4
140334276690,Grüne Luzern,GRÜNE Luzern,254,7
15733998334,FDP,FDP,245,1
18087904183,PLR,PLR,244,1
513407995428696,actif-trafiC,actif-trafiC,240,1
1524954517562834,Prominis,Prominis GmbH,240,4
1003078936442534,Zuger Wirtschaftskammer,Zuger Wirtschaftskammer,231,16
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,214,9
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,212,4
110533229026103,EVP / PEV,EVP Schweiz,203,5
238982909481105,Les Vert·e·s Genevois·es,Les Vert-e-s genevois-es,203,6
36735923253,umverkehR,umverkehR,196,3
221555984562317,SVP Kanton Schwyz,SVP Kanton Schwyz,191,1
105117748995381,Next Generation Riva,Next Generation Riva,190,9
212297922293183,UDC Suisse,UDC Suisse,189,2
162373287239957,SVP Schweiz,SVP Schweiz,187,2
