Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
131066326987,SP Kanton Zürich,SP Kanton Zürich,11090,30
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,6848,69
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,6732,67
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,5129,85
102662476058956,Hans-Peter Amrein in den Regierungsrat,Hans-Peter Amrein in den Regierungsrat,4838,17
169510248558,Die Mitte - Le Centre,Die Mitte,3733,20
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,3125,73
970401509667271,Priska Seiler Graf - Nationalrätin,Priska Seiler Graf in den Regierungsrat,2837,21
154212901272905,FDP.Die Liberalen Baselland,FDP.Die Liberalen Baselland,2462,106
1903129656584980,SP Uster,SP Uster,2367,14
583706025047684,Pierre Rappazzo in den Zürcher Kantonsrat,Pierre Rappazzo,1996,6
108392832120312,Perspektive Zürich,Perspektive Zürich,1922,31
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,1916,39
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,1914,50
610098352377102,Christian Pfaller,Komitee Christian Pfaller,1675,63
224581297586778,Gewerkschaftsbund des Kantons Zürich,Gewerkschaftsbund des Kantons Zürich,1620,8
202006389857644,Grünliberale Kanton Zürich,Grünliberale Partei Zürich,1544,50
1959919117421939,FDP.Die Liberalen Bezirk Bülach,FDP.Die Liberalen Bezirk Bülach,1499,6
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,1437,29
324773857561365,Die Mitte Kanton Zürich,Die Mitte Kanton Zürich,1431,12
100195119489766,Benno Scherrer in den Regierungsrat,Benno Scherrer,1361,4
705478906236710,FDP.Die Liberalen Bezirk Uster,FDP.Die Liberalen Bezirk Uster,1231,5
113035494739725,Simon Vlk,Simon Vlk,1011,2
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,998,14
82752099000,Alternative Liste ZH,Alternative Liste Zürich,993,50
106241572361769,Carmen Walker Späh FDP,Carmen Walker Späh,983,14
187828241245131,Grüne Baselland,Grüne Baselland,943,31
191136321464981,Die Mitte Stadt Winterthur,Die Mitte Stadt Winterthur,910,6
450602808776880,Martin Neukom,Martin Neukom,878,3
260591187302640,Parti socialiste genevois,Parti socialiste genevois,809,6
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,781,41
161852057173460,SP Bezirk Affoltern,SP Bezirk Affoltern,754,27
97220294896,SP Schweiz,SP Schweiz,735,1
103082059271118,SP Bezirk Hinwil,SP Wetzikon,709,13
117027101705789,FDP Stadt Zürich,FDP Stadt Zürich,677,14
1769803096579445,Grünliberale Bezirk Horgen,Grünliberale Bezirk Horgen,654,10
1464489323856911,FDP Zürich 2,FDP Zürich 2,634,4
194790813901953,Grüne Schweiz,Grüne Schweiz,615,1
106020715591381,"Thomi Jourdan - Regierungsratskandidat Baselland - ""fürs Baselbiet vo morn""",Thomi Jourdan in den Regierungsrat,591,8
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,527,19
119245155521044,Ylli Doko - Politiker - FDP Die.Liberalen,Ylli Doko,497,4
1556534881244272,Grünliberale Bezirk Uster,Grünliberale Bezirk Uster,448,13
108206818777404,Bezirksgewerbeverband Bülach,Bezirksgewerbeverband Bülach,446,24
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,443,17
317591871730585,SVP Bezirk Meilen,Marc Michel Wachter,436,2
113326388690102,SP Zürich 1 und 2,SP Zürich 1+2,430,1
1722137767860098,Grüne Bülach,Grüne Bülach,425,39
105257442419923,Die Mitte Bezirk Bülach,Die Mitte Bezirk Bülach,412,9
231086633606227,SVP Baselland,SVP Baselland,412,378
103440272521713,Sarah Fuchs in den Kantonsrat,Sarah Fuchs,400,28
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,400,1
101669982579717,Die Mitte Bezirk Uster,Die Mitte Bezirk Uster,399,9
108351771294208,Hubert Boog,Hubert Walter Boog,393,3
921336971288655,Nagra,Nagra,388,3
109213507316253,SP Zürich 11,SP Zürich,381,14
170262515730,FDP.Die Liberalen Arlesheim,FDP.Die Liberalen Arlesheim,379,6
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,366,1
600706570124933,Verkehrssanierungen JA,Verkehrssanierungen JA,351,6
155659847849677,Martin Huber in den Kantonsrat,Martin Huber in den Kantonsrat,349,4
