Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
191859734164694,Pro Infirmis,Pro Infirmis,4986,24
105302842574771,FDP.Die Liberalen Kanton Zug,FDP.Die Liberalen Zug,1575,20
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),EDU - UDF (Eidgenössisch-Demokratische Union),1380,1
169510248558,Die Mitte - Le Centre,Die Mitte,1255,13
921336971288655,Nagra,Nagra,1190,10
194790813901953,Grüne Schweiz,Grüne Schweiz,1142,7
1483343695307824,Campax,Campax,1009,45
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,887,3
18087904183,PLR,PLR,819,7
15733998334,FDP,FDP,817,7
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,780,4
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,699,8
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,453,18
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,444,8
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,443,3
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,393,2
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,391,2
478040605021,Junge Grüne Schweiz,Junge Grüne Schweiz,300,2
2068625050104664,Jeunes Vert•e•x•s Suisse,Junge Grüne Schweiz,300,2
1246741332049284,Union Patronale du Canton de Fribourg,Union Patronale du Canton de Fribourg,300,5
1320679421302500,HabitatDurable,Casafair - HabitatDurable,289,5
102014399307738,Direkt,direkt,280,12
107790305417766,balkanbuero,These ads ran without a disclaimer,264,1
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,261,8
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,233,9
386551678736949,Philippe Loertscher,Philippe Loertscher,232,3
1419223321733027,Parti Socialiste Vaudois,PS vaudois,200,2
467929373784855,COA - Coalition animaliste,Coalition animaliste (COA),200,3
112273518443237,JSVP Säntis,JSVP Säntis,180,1
115010674866173,prospettivasvizzera.ch,IG Wirtschaftsverbände,177,3
103074632758864,Natacha Albrecht au Conseil National,Natacha Albrecht au Conseil National,160,2
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,156,1
109023033782956,Unisanté,Unisanté,156,2
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,154,4
36735923253,umverkehR,umverkehR,146,5
291359247729208,PS Suisse,PS Suisse,145,3
259871484198551,Thomas Matter,Thomas Matter,135,3
1426072874321965,Regine Sauter,Regine Sauter,134,38
239846135569,Feinheit,These ads ran without a disclaimer,132,3
389917717803867,SVP Graubünden,SVP Graubünden,119,1
260591187302640,Parti socialiste genevois,Parti socialiste genevois,≤100,2
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,≤100,10
104315628305981,anita_buri_official,These ads ran without a disclaimer,≤100,1
1587949341492441,Claudio Zihlmann,Claudio Zihlmann,≤100,3
301191993250257,Pät Schreiber,These ads ran without a disclaimer,≤100,1
513407995428696,actif-trafiC,actif-trafiC,≤100,2
784812424962943,Tele Z,TELE Z,≤100,1
755554214495636,Parti Socialiste Neuchâtelois,Parti socialiste neuchâtelois,≤100,1
335129001940,Young European Swiss - yes,young european swiss,≤100,2
1557003054590815,Nicola Di Giulio,These ads ran without a disclaimer,≤100,1
178775348914227,FDP.Die Liberalen Kanton Schwyz,FDP Kanton Schwyz,≤100,4
48980326364,Public Eye,Public Eye,≤100,2
779053175529269,Scandales dans le Jura ?,These ads ran without a disclaimer,≤100,2
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100,1
102667148535483,Keller62,These ads ran without a disclaimer,≤100,1
111572431777901,Simon Michel in den Nationalrat,Simon Michel in den Nationalrat,≤100,3
618990544877607,Natalia Ferrara,Natalia Ferrara,≤100,1
102718129475079,Ambil Sandy,Bezirksrichterwahl,≤100,1
789371434477510,GRÜNE Basel-Stadt,Grüne Basel-Stadt,≤100,1
251838211585945,SP Basel-Stadt,SP Basel-Stadt,≤100,1
82752099000,Alternative Liste ZH,Alternative Liste Zürich,≤100,1
939568639723327,Manuela Weichelt - Zugs erste Nationalrätin,Manuela Weichelt,≤100,1
97721121385,Public Eye,Public Eye,≤100,2
121446461263308,SP Kanton Schwyz,SP Kanton Schwyz,≤100,1
1809601932701449,Michael Töngi,Michael Töngi,≤100,1
820391221400929,Unser Stadtrat Florin Scherrer,Unser Stadtrat Florin Scherrer,≤100,2
100649012962611,Direct,Direct,≤100,1
1495300997443986,Vote For Jeff Spencer Rusk County Commissioner Pct. 4,These ads ran without a disclaimer,≤100,1
164442820236221,Jeunes Vert·exs Vaud,Jeunes Vert·exs Vaud,≤100,2
100513788093677,Les Vert-e-s Ville de Genève,Les Vert-e-s Ville de Genève,≤100,2
101882448673,Dezeen,These ads ran without a disclaimer,≤100,1
106254955524910,SVP Binningen,SVP Binningen,≤100,1
606125032803856,alpinavera,These ads ran without a disclaimer,≤100,1
102607622386347,Agissons Suisse,AG!SSONS,≤100,1
111539168454051,Avanti,Avanti,≤100,2
144823068907268,Telebasel,These ads ran without a disclaimer,≤100,2
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,≤100,4
2151592515105217,Christina Bachmann-Roth,Christina Bachmann-Roth,≤100,1
559497617526674,Pour une Suisse ouverte+souveraine,economiesuisse,≤100,1
245489546137580,Christoph Riner - bodenständige Politik,Christoph Riner - bodenständige Politik,≤100,4
115967858108648,Susanne Dedecke glp,Grünliberale Partei Muhen,≤100,1
120307884715130,Les Vert•e•s Valais - Grüne Wallis,Les Vert•e•s Valais - Grüne Wallis,≤100,1
2011626645562796,Andri Silberschmidt,Komitee Andri Silberschmidt,≤100,1
169078529809379,Work - die Zeitung der Gewerkschaft,These ads ran without a disclaimer,≤100,1
109605484115257,Delphine Klopfenstein Broggini,Delphine Klopfenstein Broggini,≤100,2
122819208305170,Sauvegarde Genève,Sauvegarde Genève,≤100,1
