Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
169510248558,Die Mitte - Le Centre,Die Mitte,3471,19
110547838607111,NON IN 179,FER Genève - Fédération des Entreprises Romandes Genève,1580,22
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,1437,28
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,1398,65
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,1376,35
101469746117157,"Xavier Magnin, candidat au Conseil d'Etat 2023",Xavier Magnin,1287,1
104068392569671,Nein zum Stadtparlament Rapperswil-Jona,"Komitee «NEIN zur neuen Gemeindeordnung, NEIN zum Stadtparlament»",1150,7
103816695962630,Non à l'initiative «Zéro Pub»,Comité référendaire NON à Zéro Pub,1081,7
260591187302640,Parti socialiste genevois,Parti socialiste genevois,897,41
1534982756793690,Foodvisor,These ads ran without a disclaimer,863,8
103915262545181,KMU geprüft,KMU geprüft,702,96
131066326987,SP Kanton Zürich,SP Kanton Zürich,699,5
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,638,6
600706570124933,Verkehrssanierungen JA,Komitee Verkehrssanierungen JA,608,39
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,582,22
113772441580575,JA zu Kies aus Birmenstorf,JA zu Kies aus Birmenstorf,541,6
107552952619935,WWF Schweiz,WWF Schweiz,498,6
600706570124933,Verkehrssanierungen JA,Verkehrssanierungen JA,438,8
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,377,6
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,368,9
116890591678651,Vert'libéraux - Genève,Parti vert'libéral genevois,353,3
48980326364,Public Eye,Public Eye,335,4
463645587339110,Piero Marchesi,Piero Marchesi,320,7
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,311,8
106252468372887,Isabelle Chassot,Isabelle Chassot,308,4
104265952574760,EVP Kreuzlingen,Adrian Robin Ziörjen,296,2
1562216347422974,Esther Friedli,Esther Friedli,295,11
102014399307738,Direkt,direkt,279,4
109889895328694,Megastrassen 2 x NEIN,Komitee gegen Megastrassen,258,5
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,258,13
921336971288655,Nagra,Nagra,250,4
108843502117518,Andreas Baeckert,Andreas Peter Baeckert,222,4
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,203,11
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,202,26
107761668882945,Schluss mit Parteipäckli,Überparteiliches Abstimmungskomitee «Schluss mit Parteipäckli – Ja zum Gegenvorschlag» (Die Mitte Schwyz),197,3
108839758430779,Association des habitants du quartier de la Bourgogne,Association des habitants du quartier de Bourgogne,170,9
269029886456205,Giorgio Fonio,Giorgio Fonio,149,4
113671758293671,JA zum Stadtparlament,Komitee JA zum Stadtparlament Rapperswil-Jona,149,11
428690117258417,SVP des Kantons Zürich,SVP des Kantons Zürich,132,5
106964611977537,Switlo,Switlo,126,2
101384276204469,Ja zur Wiesli-Initiative am 12. März,"Initiativkomitee ""Ja zur Wiesli-Initiative""",124,4
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,105,1
106591559016696,Guido Lehmann,Guido Lehmann,105,3
101417574776507,Ja zur direkten Demokratie,New Swiss Journal,102,1
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,102,6
178775348914227,FDP.Die Liberalen Kanton Schwyz,FDP Kanton Schwyz,102,5
106254955524910,SVP Binningen,SVP Binningen,≤100,1
105890175750510,Luca Carbone  lucacarbone.ch,Luca Carbone,≤100,4
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,≤100,1
305699609616768,Verdi Liberali Ticino,verdi liberali Ticino,≤100,1
122819208305170,Sauvegarde Genève,Sauvegarde Genève,≤100,6
1524954517562834,Prominis,Prominis GmbH,≤100,2
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,≤100,4
75338704887,Fondation Franz Weber,Fondation Franz Weber,≤100,1
190133177759419,Giuseppe Cotti,Giuseppe Cotti,≤100,8
784812424962943,Tele Z,TELE Z,≤100,1
103369269163798,Mittendrin,Hanspeter Renggli,≤100,3
1004669426211864,Parti socialiste Prilly,Parti socialiste de Prilly,≤100,2
592045444309191,DIRECT NEWS by Michel Robadin,Michel François Robadin,≤100,3
375845269120737,FDP. Die Liberalen Dietikon,FDP. Die Liberalen Dietikon,≤100,1
259871484198551,Thomas Matter,Thomas Matter,≤100,1
251838211585945,SP Basel-Stadt,SP Basel-Stadt,≤100,7
1483343695307824,Campax,Campax,≤100,3
106563052005929,SVP Kreuzlingen,SVP Kreuzlingen,≤100,3
1439209716323593,UDC Ticino,UDC Ticino,≤100,4
200825306651250,Renato Pfeffer EVP,EVP Kanton Zürich,≤100,2
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,2
100213996124067,Grünliberale Sektion Emmen-Hochdorf,Grünliberale Sektion Emmen-Hochdorf,≤100,3
108667862595190,Les Vert-e-s La Côte,Les Vert·e·s de La Côte,≤100,2
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100,15
