Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
599025353636034,B Lab Switzerland,B LAB (SWITZERLAND),4506,21
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,3702,2
1054282644596776,GE-démocratie,GE-démocratie,2048,8
97220294896,SP Schweiz,SP Schweiz,1799,7
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,1063,45
48980326364,Public Eye,Public Eye,987,26
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,756,5
291359247729208,PS Suisse,PS Suisse,731,4
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,641,2
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,592,21
114275974912005,GE équilibre fiscal,GE équilibre fiscal,451,7
84150672409,SP Stadt Zürich,SP Stadt Zürich,426,8
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,417,5
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,372,2
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,319,5
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,304,21
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,303,4
1579272705641700,Gabriela Suter,Gabriela Suter,302,10
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,285,13
200480966638039,Supremacy 1914,These ads ran without a disclaimer,281,2
102014399307738,Direkt,direkt,272,6
478040605021,Junge Grüne Schweiz,Junge Grüne Schweiz,243,2
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,239,5
2068625050104664,Jeunes Vert•e•x•s Suisse,Junge Grüne Schweiz,234,2
169510248558,Die Mitte - Le Centre,Die Mitte,228,6
115010674866173,prospettivasvizzera.ch,IG Wirtschaftsverbände,182,5
104460881166122,Pro Natura Valais / Wallis,Pro Natura Valais / Wallis,163,2
1991942507517845,Römisch-Katholische Kirche im Aargau,Römisch-Katholische Landeskirche des Kantons Aargau,160,6
1524954517562834,Prominis,Prominis GmbH,155,34
335404453537186,Die Mitte Binningen-Bottmingen,Die Mitte Binningen-Bottmingen,149,1
291504744242501,Lega dei Ticinesi - sezione Chiasso,Stefano Tonini,131,1
921336971288655,Nagra,Nagra,118,2
1741098286126301,Die Mitte Appenzell Ausserrhoden,Die Mitte Appenzell Ausserrhoden,116,17
36735923253,umverkehR,umverkehR,104,3
125466200895962,Valentin Landmann,Sven Kunz,≤100,1
110481348648633,Ludivine-Luy-Lovey au Conseil National 2023,Ludivine Luy Lovey,≤100,2
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,≤100,2
131066326987,SP Kanton Zürich,SP Kanton Zürich,≤100,7
152628551459993,GSoA - Gruppe für eine Schweiz ohne Armee,GSoA,≤100,1
155659847849677,Kantonsrat Martin Huber,Kantonsrat Martin Huber,≤100,1
97721121385,Public Eye,Public Eye,≤100,1
223727604375090,EVP Frauenfeld,EVP Frauenfeld,≤100,1
106964611977537,Switlo,Switlo,≤100,2
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,≤100,5
1569688113329878,Evony - The King's Return,These ads ran without a disclaimer,≤100,1
618765881570878,EKS,Elektrizitätswerk des Kantons Schaffhausen AG,≤100,2
138011779601470,Grünes Bündnis Stadt Bern,Grünes Bündnis Bern (GB),≤100,1
1027844850652657,Boomerang Ideas,Boomerang Ideas AG,≤100,22
102063439477752,Simon Stocker in den Ständerat,Komitee «Stocker is Stöckli»,≤100,1
123778861534,Jungfreisinnige Aargau,Jungfreisinnige Aargau,≤100,1
1562216347422974,Esther Friedli,Esther Friedli,≤100,1
1951249848443600,Protect Our Winters Switzerland,Protect Our Winters Switzerland,≤100,2
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,≤100,4
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,≤100,16
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100,12
102269201722239,TV Riviera 24,Tv Riviera 24,≤100,2
360151400680191,Die Mitte Stadt Luzern,Die Mitte Stadt Luzern,≤100,2
105182149185389,Andrea Saporito PLR,Andrea Saporito,≤100,5
121446461263308,SP Kanton Schwyz,SP Kanton Schwyz,≤100,1
102700334426254,Pierluigi Pasi,Pierluigi Pasi,≤100,1
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,≤100,1
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,7
105188432853984,Tribune de Genève,These ads ran without a disclaimer,≤100,10
2015601845405680,SP Frauenfeld,SP Frauenfeld,≤100,3
104176871670876,Renteninitiative - Für eine sichere & nachhaltige Altersvorsorge,Verein Renteninitiative,≤100,1
512160575468385,Rodolfo Pulino,Rodolfo Pulino,≤100,1
265786100439644,Grüne Freie Liste Stadt Bern,Grüne Freie Liste Bern,≤100,2
106305221949785,Grünliberale Kanton Zug,Tabea Estermann,≤100,1
839249709578255,CrowdFarming,These ads ran without a disclaimer,≤100,3
100513788093677,Les Vert-e-s Ville de Genève,Les Vert-e-s Ville de Genève,≤100,1
104914962284234,Arthur.Zero,These ads ran without a disclaimer,≤100,2
107816654786278,Antenne LGBTI Genève,"Stiefel, Irvin & Associates",≤100,1
141324542611882,Junge Grünliberale Aargau,These ads ran without a disclaimer,≤100,1
245489546137580,Christoph Riner - bodenständige Politik,Christoph Riner - bodenständige Politik,≤100,3
151183321586281,Jeunes Vert·e·x·s Genève,Jeunes Vert·e·x·s Genève,≤100,4
651914428165177,PS Sion,PS Sion,≤100,1
105885535599394,Coach Cecil,These ads ran without a disclaimer,≤100,4
117253641676210,SVP Stadtpartei Frauenfeld,SVP Stadtpartei Frauenfeld,≤100,2
