Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
103915262545181,KMU geprüft,KMU geprüft,14231,307
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,3345,8
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,3046,11
97220294896,SP Schweiz,SP Schweiz,2618,9
103361322680851,Armin Hartmann,Hartmann2023,2534,32
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,2371,73
260591187302640,Parti socialiste genevois,Parti socialiste genevois,2036,19
1054282644596776,GE-démocratie,GE-démocratie,2026,5
106321615725425,Oui à la Loi climat,Oui à la loi climat,1831,10
162745750462776,Mieterinnen- und Mieterverband MV,Mieterinnen- und Mieterverband MV,1698,28
191859734164694,Pro Infirmis,Pro Infirmis,1629,6
1526697364280066,Partito Socialista Ticino,Partito Socialista Ticino,1602,13
1492503634364441,Liste d'Union Populaire,Ensemble à Gauche-Genève,1477,18
54779960819,United Nations,United Nations with Facebook Ad Credits,1419,3
192306360802833,Grünliberale Luzern Land,Grünliberale Luzern Land,1230,14
1429860470617358,Le Centre / Ville de Genève,Le Centre / Ville de Genève,1141,21
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,1102,46
291359247729208,PS Suisse,PS Suisse,1011,6
1504706079628728,ASLOCA Suisse,ASLOCA Suisse,858,27
110888273821104,Alain Miserez,Alain Miserez,799,6
176998335660824,PLRT,PLRT,626,50
104176871670876,Renteninitiative - Für eine sichere & nachhaltige Altersvorsorge,Verein Renteninitiative,610,4
100844786282093,SÌ alla Legge clima,Sì alla legge clima,604,10
105982889575233,Le Centre Genève,Le Centre Genève,575,4
116890591678651,Vert'libéraux - Genève,Parti vert'libéral genevois,571,17
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,562,12
1579272705641700,Gabriela Suter,Gabriela Suter,533,11
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,533,3
101469746117157,"Xavier Magnin, candidat au Conseil d'Etat 2023",Xavier Magnin,457,2
1524954517562834,Prominis,Prominis GmbH,437,10
104009029660183,Die Junge Mitte Kanton Luzern,Die Junge Mitte Kanton Luzern,419,7
269029886456205,Giorgio Fonio,Giorgio Fonio,402,7
190133177759419,Giuseppe Cotti,Giuseppe Cotti,400,12
305699609616768,Verdi Liberali Ticino,verdi liberali Ticino,385,16
100213996124067,Grünliberale Sektion Emmen-Hochdorf,Grünliberale Sektion Emmen-Hochdorf,380,12
111620301609347,David Moschella,David Moschella,377,8
463645587339110,Piero Marchesi,Piero Marchesi,352,7
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,342,7
1439209716323593,UDC Ticino,UDC Ticino,339,12
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,338,15
185972504782621,FDP.Die Liberalen Luzern,FDP.Die Liberalen Luzern,331,5
194790813901953,Grüne Schweiz,Grüne Schweiz,331,4
1001274146740534,"André Marti, Kantonsrat Kanton Luzern",André Marti,325,2
353685744720476,Jungfreisinnige Stadt Luzern,Jungfreisinnige Stadt Luzern,324,5
370079583583452,Edoardo Cappelletti,Edoardo Cappelletti,312,1
299139454083983,Gionata Genazzi,Gionata Genazzi,306,7
2246378485612019,ASI - Associazione Svizzera Inquilini,ASI - Associazione Svizzera Inquilini,296,12
1526151274353450,FDP.Die Liberalen Horw,FDP.Die Liberalen Horw,296,106
140334276690,Grüne Luzern,GRÜNE Luzern,294,8
75338704887,Fondation Franz Weber,Fondation Franz Weber,290,1
112233721686095,Ylfete Fanaj in den Regierungsrat,Ylfete Fanaj in den Regierungsrat,272,6
100267076206781,Ensemble à Gauche solidaritéS-Parti du Travail-DAL,Ensemble à Gauche,261,14
1483343695307824,Campax,Campax,258,7
105890175750510,Luca Carbone  lucacarbone.ch,Luca Carbone,257,5
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,253,4
467929373784855,COA - Coalition animaliste,Coalition animaliste (COA),250,20
1991942507517845,Römisch-Katholische Kirche im Aargau,Römisch-Katholische Landeskirche des Kantons Aargau,250,10
112058825151884,Michael Teixeira Queiros,Michael Teixeira Queiros,241,2
676306169090037,Remzi Durmishi,Remzi Durmishi,240,6
737971436234272,StrategieDialog21,StrategieDialog21,236,4
227720898168117,Markus Estermann,Markus Estermann,236,4
291504744242501,Lega dei Ticinesi - sezione Chiasso,Stefano Tonini,231,3
169510248558,Die Mitte - Le Centre,Die Mitte,228,6
756722317788172,FDP.Die Liberalen Stadt Luzern,FDP.Die Liberalen Stadt Luzern,213,12
200480966638039,Supremacy 1914,These ads ran without a disclaimer,206,3
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,206,5
102149056050165,Simon Leu,Simon Leu,204,10
116633374693937,christiantresoldi.ch,These ads ran without a disclaimer,195,2
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,176,4
241206082613218,SVP des Kantons Luzern,b2000 AG,174,2
253562484727500,Partito Socialista Lugano,PS Lugano,173,2
101664679500421,Uni·es par nos convictions · Engagé·es pour Genève,Uni·es par nos convictions · Engagé·es pour Genève,171,5
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),Eidgenössisch-Demokratische Union Schweiz,170,2
104436099264189,Chiappini Giorgio,Giorgio Chiappini,165,5
