Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
220137094989562,BRITA Schweiz,These ads ran without a disclaimer,11082,2
1426072874321965,Regine Sauter,Regine Sauter,3240,39
126289610761942,Grünliberale,Grünliberale,2129,127
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,1814,7
15733998334,FDP,FDP,1638,9
18087904183,PLR,PLR,1356,11
169510248558,Die Mitte - Le Centre,Die Mitte,1160,8
113292715120155,Matthias Müller,Matthias Müller,1044,42
921336971288655,Nagra,Nagra,911,8
179829952053386,Vert'libéraux,Parti vert'libéral Suisse,842,123
162931923790797,PLR Canton de Fribourg,PLR.Les Libéraux-Radicaux Fribourg,589,12
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,584,12
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,454,44
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,425,17
144907625542050,Die Mitte Schwyz,Die Mitte Schwyz,400,2
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,377,31
194790813901953,Grüne Schweiz,Grüne Schweiz,374,3
48980326364,Public Eye,Public Eye,373,6
102691421255810,PlanBasel,PlanBasel,346,6
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,337,3
110533229026103,EVP / PEV,EVP Schweiz,315,4
102014399307738,Direkt,direkt,280,6
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,266,8
255506388731408,Biodiversitätsinitiative,Biodiversitätsinitiative,250,10
97721121385,Public Eye,Public Eye,209,6
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,201,28
110868498959631,Stiftung für das Tier im Recht (TIR),These ads ran without a disclaimer,198,1
100649012962611,Direct,Direct,196,9
105302842574771,FDP.Die Liberalen Kanton Zug,FDP.Die Liberalen Zug,178,10
1483343695307824,Campax,Campax,171,5
202907189862969,Verdi Liberali,Parti vert'libéral Suisse,169,52
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,167,3
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,159,4
145845125487053,"Jürg Grossen, Präsident Grünliberale","Jürg Grossen, Präsident Grünliberale",145,4
304748789719379,Bispo Inaldo Silva,These ads ran without a disclaimer,143,1
103074632758864,Natacha Albrecht au Conseil National,Natacha Albrecht au Conseil National,142,2
105373170818382,Romaine Rogenmoser,Romaine Rogenmoser,140,2
231320586878427,Hauseigentümerverband (HEV) Region Winterthur,Hauseigentümerverband Region Winterthur,140,2
238982909481105,Les Vert·e·s Genevois·es,Les Vert-e-s genevois-es,110,7
386551678736949,Philippe Loertscher,Philippe Loertscher,106,5
164335140312249,FDP Frauen Kanton Zürich,FDP Frauen Kanton Zürich,≤100,1
289772074451810,FDP.Die Liberalen Aargau,FDP.Die Liberalen Aargau,≤100,4
245489546137580,Christoph Riner - bodenständige Politik,Christoph Riner - bodenständige Politik,≤100,11
115010674866173,prospettivasvizzera.ch,IG Wirtschaftsverbände,≤100,3
120307884715130,Les Vert•e•s Valais - Grüne Wallis,Les Vert•e•s Valais - Grüne Wallis,≤100,2
1027844850652657,Boomerang Ideas,Boomerang Ideas AG,≤100,126
144333642290202,Savio Michellod - Par amour de la Veveyse,Savio Michellod - Par amour de la Veveyse,≤100,4
260591187302640,Parti socialiste genevois,Parti socialiste genevois,≤100,2
1439209716323593,UDC Ticino,UDC Ticino,≤100,1
82752099000,Alternative Liste ZH,Alternative Liste Zürich,≤100,5
1673559236288902,Pro Senectute Genève,Pro Senectute Genève,≤100,1
291359247729208,PS Suisse,PS Suisse,≤100,2
2151592515105217,Christina Bachmann-Roth,Christina Bachmann-Roth,≤100,1
101432554786737,Verein Stadtgrün,Verein Stadtgrün,≤100,4
1587949341492441,Claudio Zihlmann,Claudio Zihlmann,≤100,24
102063439477752,Simon Stocker in den Ständerat,Komitee «Stocker is Stöckli»,≤100,1
251838211585945,SP Basel-Stadt,SP Basel-Stadt,≤100,4
566117786851570,Përparim Avdili,These ads ran without a disclaimer,≤100,1
434325363566608,So Denkt Ein Mann,These ads ran without a disclaimer,≤100,1
109605484115257,Delphine Klopfenstein Broggini,Delphine Klopfenstein Broggini,≤100,1
139016370161,PINK CROSS / Swiss Gay Federation,Pink Cross,≤100,2
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,32
126256997433456,SP Baselland,SP Baselland,≤100,1
1524954517562834,Prominis,Prominis GmbH,≤100,1
108103318693563,"Heidi Weiss, Bauma, EVP","Heidi Weiss, Bauma, EVP",≤100,1
102607622386347,Agissons Suisse,AG!SSONS,≤100,2
181924628560212,Ekō,These ads ran without a disclaimer,≤100,1
101016155153638,Sarah Constantin,Sarah Constantin,≤100,2
164442820236221,Jeunes Vert·exs Vaud,Jeunes Vert·exs Vaud,≤100,1
100119208056282,Christian Dandrès,Christian Dandrès,≤100,1
1410462099233550,FDP.Die Liberalen Kriens,FDP Kriens,≤100,2
606125032803856,alpinavera,These ads ran without a disclaimer,≤100,1
