Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,9229,73
169510248558,Die Mitte - Le Centre,Die Mitte,5639,18
103915262545181,KMU geprüft,KMU geprüft,4669,15
191859734164694,Pro Infirmis,Pro Infirmis,3573,15
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,3293,15
107793295629503,Tourismus für das Klimagesetz,Tourismuskomitee «JA zum Klimagesetz»,2656,41
106321615725425,Oui à la Loi climat,Oui à la loi climat,2481,34
97220294896,SP Schweiz,SP Schweiz,2417,25
1659576160959696,Guido Fluri Stiftung,Guido Fluri Stiftung,2125,24
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,1400,7
100109808734387,Schweizer Wirtschaft für das Klimagesetz,Schweizer Wirtschaft für das Klimagesetzt,1322,1
1886381148253031,Économie suisse pour la loi climat,Économie Suisse pour la loi climat,1322,1
291359247729208,PS Suisse,PS Suisse,1153,4
102014399307738,Direkt,direkt,1150,8
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,1050,4
114275974912005,GE équilibre fiscal,GE équilibre fiscal,1011,11
15733998334,FDP,FDP,884,13
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,829,5
113106815069066,"OUI à la LEFI - Notre logement, c’est toute notre vie",CGI,764,14
18087904183,PLR,PLR,671,13
112878345109547,NON-in181 - NON à cette bombe fiscale,Fer Genève,524,6
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,508,41
101715872923024,Mindestlohn NEIN,Überparteiliches Komitee NEIN zum Mindestlohn,481,16
48980326364,Public Eye,Public Eye,454,15
921336971288655,Nagra,Nagra,446,6
220197041662012,Kleinbauern-Vereinigung / Petits paysans,Kleinbauern-Vereinigung VKMB,365,7
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,355,14
117027101705789,FDP Stadt Zürich,FDP.Die Liberalen Stadt Zürich,352,17
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,325,8
105117748995381,Next Generation Riva,Next Generation Riva,316,7
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,313,16
97721121385,Public Eye,Public Eye,308,15
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,290,17
84150672409,SP Stadt Zürich,SP Stadt Zürich,285,7
1579272705641700,Gabriela Suter,Gabriela Suter,246,8
105457179189438,Karin Jung-Riedweg,Karin Jung-Riedweg,233,7
131066326987,SP Kanton Zürich,SP Kanton Zürich,192,6
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,189,1
255506388731408,Biodiversitätsinitiative / Initiative biodiversité,Biodiversitätsinitiative / Initiative biodiversité,182,29
112233721686095,Ylfete Fanaj in den Regierungsrat,Ylfete Fanaj in den Regierungsrat,149,3
1991942507517845,Römisch-Katholische Kirche im Aargau,Römisch-Katholische Landeskirche des Kantons Aargau,146,5
36735923253,umverkehR,umverkehR,141,3
104803175931011,Vjollca Gashi,Vjollca Vivi Gashi,141,1
135939773133793,Grüne Winterthur,Grüne Winterthur,140,4
1483343695307824,Campax,Campax,134,1
