Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
191859734164694,Pro Infirmis,Pro Infirmis,4860,24
169510248558,Die Mitte - Le Centre,Die Mitte,2057,11
921336971288655,Nagra,Nagra,1773,13
105302842574771,FDP.Die Liberalen Kanton Zug,FDP.Die Liberalen Zug,970,7
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,720,6
126289610761942,Grünliberale,Grünliberale,678,128
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,587,11
194790813901953,Grüne Schweiz,Grüne Schweiz,549,4
255506388731408,Biodiversitätsinitiative / Initiative biodiversité,Biodiversitätsinitiative / Initiative biodiversité,500,23
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,435,17
36735923253,umverkehR,umverkehR,431,5
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,429,4
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,411,10
1426072874321965,Regine Sauter,Regine Sauter,389,38
97220294896,SP Schweiz,SP Schweiz,350,2
1483343695307824,Campax,Campax,347,5
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,315,7
102014399307738,Direkt,direkt,280,13
103426324579756,Ein Lohn zum Leben,Ein Lohn zum Leben,253,1
144907625542050,Die Mitte Schwyz,Die Mitte Schwyz,188,1
109023033782956,Unisanté,Unisanté,171,1
115010674866173,prospettivasvizzera.ch,IG Wirtschaftsverbände,165,10
131066326987,SP Kanton Zürich,SP Kanton Zürich,161,5
103074632758864,Natacha Albrecht au Conseil National,Natacha Albrecht au Conseil National,132,3
100649012962611,Direct,Direct,122,5
389917717803867,SVP Graubünden,SVP Graubünden,117,1
1585806105023846,Heinz Theiler in den Nationalrat,Heinz Theiler in den Nationalrat,114,1
291359247729208,PS Suisse,PS Suisse,114,6
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,114,4
84150672409,SP Stadt Zürich,SP Stadt Zürich,109,7
231320586878427,Hauseigentümerverband (HEV) Region Winterthur,Hauseigentümerverband Region Winterthur,108,2
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,108,14
259871484198551,Thomas Matter,Thomas Matter,≤100,1
178775348914227,FDP.Die Liberalen Kanton Schwyz,FDP Kanton Schwyz,≤100,6
1587949341492441,Claudio Zihlmann,Claudio Zihlmann,≤100,11
513407995428696,actif-trafiC,actif-trafiC,≤100,2
1246741332049284,Union Patronale du Canton de Fribourg,Union Patronale du Canton de Fribourg,≤100,2
162931923790797,PLR Canton de Fribourg,PLR.Les Libéraux-Radicaux Fribourg,≤100,9
1320679421302500,HabitatDurable,Casafair - HabitatDurable,≤100,5
