Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
131066326987,SP Kanton Zürich,SP Kanton Zürich,12190,26
102662476058956,Hans-Peter Amrein in den Regierungsrat,Hans-Peter Amrein in den Regierungsrat,11057,28
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,6450,49
126256997433456,SP Baselland,SP Baselland,5095,10
169510248558,Die Mitte - Le Centre,Die Mitte,3780,20
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,3528,88
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,3451,46
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,3337,73
970401509667271,Priska Seiler Graf - Nationalrätin,Priska Seiler Graf in den Regierungsrat,2689,38
154212901272905,FDP.Die Liberalen Baselland,FDP.Die Liberalen Baselland,2603,103
1903129656584980,SP Uster,SP Uster,2014,10
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,1978,18
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,1619,36
1959919117421939,FDP.Die Liberalen Bezirk Bülach,FDP.Die Liberalen Bezirk Bülach,1507,12
106241572361769,Carmen Walker Späh FDP,Carmen Walker Späh,1500,13
450602808776880,Martin Neukom,Martin Neukom,1447,6
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,1341,18
108392832120312,Perspektive Zürich,Perspektive Zürich,1329,42
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,1252,28
109469528675603,Philipp Egger,Philipp Egger,1155,20
97220294896,SP Schweiz,SP Schweiz,1130,3
600706570124933,Verkehrssanierungen JA,Verkehrssanierungen JA,1112,15
317591871730585,SVP Bezirk Meilen,Marc Michel Wachter,1064,2
705478906236710,FDP.Die Liberalen Bezirk Uster,FDP.Die Liberalen Bezirk Uster,1055,4
583706025047684,Pierre Rappazzo in den Zürcher Kantonsrat,Pierre Rappazzo,1044,6
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,985,7
610098352377102,Christian Pfaller,Komitee Christian Pfaller,967,58
103082059271118,SP Bezirk Hinwil,SP Wetzikon,836,12
259871484198551,Thomas Matter,Thomas Matter,781,3
260591187302640,Parti socialiste genevois,Parti socialiste genevois,727,12
106020715591381,"Thomi Jourdan - Regierungsratskandidat Baselland - ""fürs Baselbiet vo morn""",Thomi Jourdan in den Regierungsrat,665,12
1722137767860098,Grüne Bülach,Grüne Bülach,592,27
224581297586778,Gewerkschaftsbund des Kantons Zürich,Gewerkschaftsbund des Kantons Zürich,581,11
102408406000910,Bürgerliche Allianz,Berchtold Marketing GmbH,542,7
82752099000,Alternative Liste ZH,Alternative Liste Zürich,541,23
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,533,26
113035494739725,Simon Vlk,Simon Vlk,514,2
