Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
191859734164694,Pro Infirmis,Pro Infirmis,6404,19
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,5173,49
103915262545181,KMU geprüft,KMU geprüft,4985,15
169510248558,Die Mitte - Le Centre,Die Mitte,3801,32
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,3342,15
1027844850652657,Boomerang Ideas,Boomerang Ideas AG,2922,133
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,1400,7
255506388731408,Biodiversitätsinitiative / Initiative biodiversité,Biodiversitätsinitiative / Initiative biodiversité,1276,21
97220294896,SP Schweiz,SP Schweiz,1148,1
1659576160959696,Guido Fluri Stiftung,Guido Fluri Stiftung,1092,29
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,1052,6
48980326364,Public Eye,Public Eye,989,9
114275974912005,GE équilibre fiscal,GE équilibre fiscal,874,8
15733998334,FDP,FDP,806,13
102014399307738,Direkt,direkt,792,7
291359247729208,PS Suisse,PS Suisse,772,1
124266620968132,FDP.Die Liberalen Kanton Thurgau,FDP Thurgau,762,6
97721121385,Public Eye,Public Eye,640,9
18087904183,PLR,PLR,617,13
599025353636034,B Lab Switzerland,B LAB (SWITZERLAND),569,2
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,555,18
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,536,8
921336971288655,Nagra,Nagra,447,6
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,442,13
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,386,4
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,353,10
809010089207949,Aperta e sovrana,aperta e sovrana,343,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,293,2
131066326987,SP Kanton Zürich,SP Kanton Zürich,285,5
1579272705641700,Gabriela Suter,Gabriela Suter,247,5
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,202,1
220197041662012,Kleinbauern-Vereinigung / Petits paysans,Kleinbauern-Vereinigung VKMB,181,6
104803175931011,Vjollca Gashi,Vjollca Vivi Gashi,175,1
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,167,4
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,161,14
112233721686095,Ylfete Fanaj in den Regierungsrat,Ylfete Fanaj in den Regierungsrat,150,4
112878345109547,NON-in181 - NON à cette bombe fiscale,Fer Genève,145,6
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,142,4
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,141,2
1991942507517845,Römisch-Katholische Kirche im Aargau,Römisch-Katholische Landeskirche des Kantons Aargau,140,5
2759282954298123,Emmanuel Amoos - conseiller national,Emmanuel Didier Amoos,121,1
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,113,2
106964611977537,Switlo,Switlo,107,2
1483343695307824,Campax,Campax,107,4
105457179189438,Karin Jung-Riedweg,Karin Jung-Riedweg,106,5
898028146978844,SUPSI Landquart Physiotherapie,These ads ran without a disclaimer,≤100,1
125466200895962,Valentin Landmann,Sven Kunz,≤100,1
135939773133793,Grüne Winterthur,Grüne Winterthur,≤100,5
145845125487053,"Jürg Grossen, Präsident Grünliberale",Jürg Grossen,≤100,3
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,≤100,5
132497703498525,Pro Velo Schweiz,Pro Velo Schweiz,≤100,10
1419223321733027,Parti Socialiste Vaudois,PS vaudois,≤100,1
103237956032492,Willy Portmann,Willy Portmann,≤100,2
183441641693664,Philippe Nantermod,Etude Philippe Nantermod Sàrl,≤100,1
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100,4
1575444522744962,Nils Fiechter,Nils Fiechter,≤100,1
113106815069066,"OUI à la LEFI - Notre logement, c’est toute notre vie",CGI,≤100,6
814161388652681,Samira Marti,Nationalrätin Samira Marti,≤100,3
490059521190894,Cercle démocratique,Barry Lopez,≤100,2
265786100439644,Grüne Freie Liste Stadt Bern,Grüne Freie Liste Stadt Bern,≤100,2
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,≤100,5
104460881166122,Pro Natura Valais / Wallis,Pro Natura Valais / Wallis,≤100,1
102718129475079,Ambil Sandy,Sandy Iwan Ambil,≤100,4
354548604968651,Peter Metzinger Gemeinderat FDP Dietikon,Peter Alois Metzinger,≤100,1
102733401616452,Tanja Miljanović in den Nationalrat,Tanja Miljanović,≤100,1
121446461263308,SP Kanton Schwyz,SP Kanton Schwyz,≤100,1
172348652806226,DEKRA,These ads ran without a disclaimer,≤100,1
1393128654260543,talendo,These ads ran without a disclaimer,≤100,1
784812424962943,Tele Z,TELE Z,≤100,1
100119208056282,Christian Dandrès,Christian Joseph Dandrès,≤100,1
580012422156679,Grüne Stadt Dübendorf,Grüne Stadt Dübendorf,≤100,1
106459178771498,Antonia Martina Durisch,Antonia Martina Durisch,≤100,2
155659847849677,Kantonsrat Martin Huber,Kantonsrat Martin Huber,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,4
115010674866173,prospettivasvizzera.ch,IG Wirtschaftsverbände,≤100,5
106080328954492,SP Gelterkinden und Umgebung,SP Gelterkinden und Umgebung,≤100,2
538981346500133,Rotho,These ads ran without a disclaimer,≤100,3
149693388517002,Equiwent int. Pferde- & Kinderhilfe,These ads ran without a disclaimer,≤100,1
106563052005929,SVP Kreuzlingen,SVP Kreuzlingen,≤100,1
2011626645562796,Andri Silberschmidt,Komitee Andri Silberschmidt,≤100,1
139890720097051,Die Mitte Muttenz,Die Mitte Muttenz,≤100,1
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,≤100,12
185927128110913,SMA Solar Technology,These ads ran without a disclaimer,≤100,1
102779519060637,SP Vorderland AR,SP Vorderland AR,≤100,3
109381070613028,THE CLIMATE CHOICE,These ads ran without a disclaimer,≤100,2
110336161874621,Urban Husi in den Kantonsrat ZH,Urban Pius Matthäus Husi Fiechter,≤100,1
108232155430828,Lawyer Jan,These ads ran without a disclaimer,≤100,6
784812424962943,Tele Z,These ads ran without a disclaimer,≤100,1
109605484115257,Delphine Klopfenstein Broggini,Delphine Klopfenstein Broggini,≤100,1
2075832665775532,FDP Hochdorf,FDP.Die Liberalen Hochdorf,≤100,1
167983071434,SP Kriens,SP Kriens,≤100,1
245489546137580,Christoph Riner - bodenständige Politik,Christoph Riner - bodenständige Politik,≤100,3
654086281432152,Société pour les peuples menacés Suisse - SPM,These ads ran without a disclaimer,≤100,2
265786100439644,Grüne Freie Liste Stadt Bern,Grüne Freie Liste Bern,≤100,1
163017527046459,Jungheinrich,These ads ran without a disclaimer,≤100,1
143714586302267,Urs Bänziger FDP,Urs Baenziger,≤100,1
789371434477510,GRÜNE Basel-Stadt,Grüne Basel-Stadt,≤100,1
467503303605894,PLR Castel San Pietro,PLR Castel San Pietro,≤100,1
763722197034246,En Développement,These ads ran without a disclaimer,≤100,1
547115755657303,ReThink Daylight,These ads ran without a disclaimer,≤100,1
158820214312321,Citations Ron Hubbard,Mieux Vivre Sa Vie,≤100,1
186008238755917,amplify.ooo,These ads ran without a disclaimer,≤100,1
364457210935073,Vert'libéraux Valais / Grünliberale Wallis,Vert'libéraux Valais / Grünliberale Wallis,≤100,1
116663695061094,SP Bezirk Meilen,SP Bezirk Meilen,≤100,1
267272696776611,"Maja Riniker, Nationalrätin",Maja Riniker,≤100,1
74203385744,éditions markus haller,These ads ran without a disclaimer,≤100,1
344556287396,Penguin Bücher,These ads ran without a disclaimer,≤100,2
2261709760740382,wirtschaftskomitee.ch,Wirtschaftskomitee.ch,≤100,1
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich,≤100,1
98673036962,ROLDA,These ads ran without a disclaimer,≤100,6
135816069903817,Dirk Kreuter,These ads ran without a disclaimer,≤100,5
238982909481105,Les Vert·e·s Genevois·es,Les Vert-e-s genevois-es,≤100,2
272968897162,Ferienregion Toggenburg,These ads ran without a disclaimer,≤100,1
